index, isfixed(bool), pos.x,pos.y,pos.z
535,0,0.651204,1.9986,0.439394
536,0,0.902456,2.2565,0.218206
537,1,2,2,1
538,0,0.758814,2.10313,0.341971
539,1,2,2,1
540,0,-0.181658,2.10661,1.18033
541,1,-1,2,2
542,0,-0.239641,2.04898,1.10635
543,0,-0.337603,1.96751,1.27916
544,0,-1.28017,0.505366,0.239732
545,0,-0.958667,0.58319,0.337795
546,0,0.789237,1.74265,1.25972
547,0,0.84433,1.86538,1.61875
548,0,-0.580401,2.58035,1.67875
549,1,-1,3,2
550,0,-1.68305,0.277232,-0.0921522
551,1,-2,0,0
552,0,-1.64116,0.301183,-0.0403736
553,0,-1.1937,0.626049,0.339785
554,0,-1.85395,0.0455165,-0.338564
555,1,-2,0,0
556,0,-1.7606,0.122611,-0.225613
557,0,-1.76587,0.169019,-0.169919
558,0,1.78733,2.92446,-0.75
559,1,2,3,-1
560,0,1.54578,2.916,-0.447427
561,0,-0.895213,0.177392,0.900719
562,1,-1,0,2
563,1,-1,0,2
564,0,-1.68509,0.953242,0.797715
565,1,-2,1,1
566,0,-1.33658,0.978702,0.653103
567,1,-2,1,1
568,1,-1,0,1
569,0,-0.950229,0.228617,0.942911
570,0,-0.336465,1.46826,1.17797
571,0,-0.250989,1.28447,1.23602
572,0,-0.609312,1.57814,1.13824
573,0,-0.526183,1.6352,1.21469
574,0,-0.215536,1.99852,1.09751
575,0,-0.691194,2.09922,1.68142
576,0,1.10992,2.4301,0.105145
577,0,-0.00918868,2.38629,1.0071
578,0,1.2262,2.59657,-0.0923468
579,0,1.42058,2.73223,-0.321655
580,0,-0.222557,2.19458,1.33612
581,1,-1,2,2
582,0,-0.311769,2.28077,1.47063
583,1,-1,2,2
584,0,0.570626,2.76894,1.2836
585,1,1,3,2
586,0,0.587569,2.6162,1.23207
587,1,1,3,2
588,0,-0.8205,0.496875,0.599405
589,1,-1,0,1
590,0,-0.895213,0.177392,0.900719
591,0,-0.805463,0.42583,0.700422
592,1,-1,0,2
593,1,-1,0,2
594,0,-0.742578,0.666667,0.478913
595,1,-1,0,1
596,0,-1.22126,0.555645,0.286328
597,0,-0.924937,0.587206,0.383425
598,0,0.780113,1.77237,1.29515
599,1,1,2,2
600,0,0.776661,1.66558,1.05828
601,0,0.013817,1.69533,1.04731
602,0,0.942727,4.01029,1.91602
603,0,0.925581,4.03048,1.61376
604,0,0.939584,4.01178,1.90969
605,1,1,4,2
606,0,0.878306,2.10884,1.32447
607,0,1.83708,0.217982,1.74383
608,0,0.770361,2.58747,1.46588
609,0,0.893909,2.36532,1.49777
610,0,0.954756,2.8109,1.83554
611,1,1,3,2
612,0,0.824725,1.61169,0.999824
613,0,0.793537,1.5948,0.964614
614,0,-0.933006,1.33008,1.64849
615,1,-1,1,2
616,0,-0.675083,1.21218,1.45032
617,0,1.07896,1.36758,1.14974
618,0,-0.798796,3.00837,1.88085
619,1,-1,3,2
620,0,-0.401823,1.55448,1.25274
621,0,-0.500651,1.49075,1.33688
622,0,-0.41879,1.84373,1.27738
623,0,-0.409975,1.84334,0.982572
624,0,-0.415215,1.23937,1.24897
625,0,-0.795124,1.41133,1.03971
626,0,-0.439845,1.17173,1.20036
627,0,-0.856369,0.25,1.00504
628,0,-1.4733,1.87815,0.978373
629,1,-2,2,1
630,0,-0.706443,1.77507,0.950925
631,0,1.28848,1.14547,-0.344614
632,1,-2,0,0
633,1,-2,0,0
634,0,-0.621664,1.52371,1.17018
635,0,-0.288691,1.36647,1.21047
636,0,-0.533286,1.53671,1.26661
637,0,-0.417766,2.26614,1.45903
638,0,-0.466064,1.75591,1.24546
639,0,-0.0576901,2.01482,1.32144
640,0,-1.81605,1.88872,0.978895
641,1,-2,2,1
642,0,-1.76605,1.83872,0.878895
643,1,-2,2,1
644,1,-2,2,1
645,0,-1.73229,1.8375,0.971133
646,0,0.996336,3.18603,0.00479114
647,0,-0.476036,2.15247,1.47749
648,0,1.58634,3.86224,-0.623997
649,0,1.37008,2.67495,-0.389133
650,0,0.836572,2.41253,0.320706
651,0,1.58335,3.23152,-0.609672
652,0,-0.865487,1.95366,1.83367
653,1,-1,2,2
654,0,-0.574548,1.85272,1.47934
655,0,-0.799812,1.93102,1.75264
656,0,-0.862481,1.95261,1.83009
657,0,-0.397932,1.81883,1.28417
658,0,-1.75,1.07833,1.00657
659,0,-1.75,1.07645,0.928163
660,0,-1.48362,1.22396,0.995549
661,0,-1.87489,1.00412,0.9854
662,1,-2,1,1
663,0,-1.6953,1.13824,0.974182
664,0,-1.68764,1.12496,0.972297
665,0,-1.6604,1.18996,0.973988
666,0,-1.88255,1.01741,0.987286
667,1,-2,1,1
668,0,-0.869243,0.25,1.02661
669,1,-1,0,1
670,0,-0.610687,0.74367,1.07352
671,0,-0.759147,0.364313,0.895426
672,0,-0.812,0.364313,0.979855
673,0,-0.659892,0.649928,1.06636
674,1,-2,1,1
675,1,-2,1,1
676,1,-2,0,1
677,1,-2,0,1
678,0,-1.8663,0.119826,1.9391
679,1,-2,0,2
680,0,-1.8163,0.119826,1.8891
681,0,-0.895038,1.01311,1.67809
682,0,-1.58353,0.405946,1.83145
683,0,-1.29103,0.692886,1.76239
684,0,-0.498164,2.13358,1.40645
685,0,-0.819615,2.92839,1.89136
686,0,-0.342746,1.53213,1.02331
687,0,-0.910384,0.204843,0.938052
688,0,-0.692952,2.6671,1.79126
689,1,-1,3,2
690,0,-0.60809,2.60618,1.77411
691,0,-0.678519,1.45553,1.12923
692,0,-1.04977,1,0.948019
693,1,-2,1,1
694,0,-0.995521,0.0908451,0.991337
695,1,-1,0,1
696,0,-1.18365,1.60952,0.930216
697,1,-2,2,1
698,0,-1.06471,1.66178,0.943519
699,1,-2,2,1
